source_text,reference_text,S2TT_prediction,T2TT_prediction,S2ST_ASR,T2ST_ASR
रूमानियत में सांस्कृतिक नियतिवाद का बड़ा तत्व था जो गोएथे फिच्ते और श्लेगल जैसे लेखकों से लिया गया,రొమాంటిక్ వాదంలో సాంస్కృతిక నిర్ణయాల్లో పెద్ద అంశం కలదు గోతే ఫిచ్టే ష్లేగెల్ వంటి రచయితల నుండి తీసుకోబడింది,రొమానీతంలో సాంస్కృతిక నైతికవాదం యొక్క పెద్ద మూలకం ఉంది ఇది గోథే ఫిచ్టే మరియు స్లేగల్ వంటి రచయితల నుండి తీసుకోబడింది,రొమానియం లో సాంస్కృతిక నిర్ణీతవాదం యొక్క పెద్ద అంశం ఉంది అది గోథే ఫిచ్టే మరియు ష్లెగల్ వంటి రచయితల నుండి తీసుకోబడింది,రొమానీతంలో సాంస్కృతిక నైతికవాదం యొక్క పెద్ద మూలకం ఉంది ఇది గోదే ఫిట్టే మరియు స్లేగల్ వంటి రచయితల నుండి తీసుకోబడింది.,రొమేనియంలో సాంస్కృతిక నిర్మితవాదం యొక్క పెద్ద అంశం ఉంది అది గోథే ఫిట్టే మరియు ష్లేగల్ వంటి రచయితల నుండి తీసుకోబడింది.
यह कहते हुए कि वे चीन के आर्थिक उत्पादन के आधार पर बनाए जाएंगे उन्होंने कटौती के लिए कोई आंकड़ा निर्धारित नहीं किया,కోతల కోసం ఆయన ఒక సంఖ్యను అనుకోలేదు అవి చైనా ఆర్ధిక ఉత్పత్తి ఆధారంగా తయారు చేయబడతాయి,ఇది చెప్తూ వారు చైనా యొక్క ఆర్థిక ఉత్పత్తి ఆధారంగా తయారు చేయబడతారు ఆయన కోత కోసం ఏ గణాంకం నిర్ణయించలేదు,అవి చైనా యొక్క ఆర్థిక ఉత్పత్తి ఆధారంగా తయారు చేయబడతాయని చెప్పడం వారు తగ్గింపు కోసం ఏ గణాంకాన్ని నిర్ణయించలేదు,ఇది చెప్తూ వారు చైనా యొక్క ఆర్థిక ఉత్పత్తి ఆధారంగా తయారు చేయబడతారు. ఆయన కోత కోసం ఏ గణాంకం నిర్ణయించలేదు.,అవి చైనా యొక్క ఆర్థిక ఉత్పత్తి ఆధారంగా తయారవుతాయని చెప్పడం వారు తగ్గింపు కోసం ఏ గణాంకాన్ని నిర్ణయించలేదు.
लीक के अनुसार दस्तावेज़ सीमा विवाद को संदर्भित करेगा जो फ़िलिस्तीन 1967 के मध्यपूर्व युद्ध से पहले सीमाओं के आधार पर चाहता है,డాక్యుమెంట్ లీక్ ప్రకారం సరిహద్దుల వివాదాన్ని సూచిస్తుంది ఇది 1967 మిడ్ఈస్ట్ యుద్ధానికి ముందు సరిహద్దుల ఆధారంగా పాలస్తీనా కోరుకుంది,లీగ్ ప్రకారం డాక్యుమెంట్ సరిహద్దు వివాదాన్ని ప్రస్తావిస్తుంది ఇది పాలస్తీనా పంతొమ్మిది వందల అరవైల మధ్యప్రాచ్య యుద్ధానికి ముందు సరిహద్దుల ఆధారంగా కోరుకుంటుంది,లీక్ ప్రకారం డాక్యుమెంట్ సరిహద్దు వివాదాన్ని సూచిస్తుంది ఇది పాలస్తీనా 1967 యొక్క మధ్యప్రాచ్య యుద్ధానికి ముందు సరిహద్దుల ఆధారంగా కోరుకుంటుంది,లీగ్ ప్రకారం డాక్యుమెంట్ సరిహద్దు వివాదాన్ని ప్రస్తావిస్తుంది. ఇది పాలస్తీనా పంతొమ్మిది వందల అరవైల మధ్యప్రాచ్య యుద్ధానికి ముందు సరిహద్దుల ఆధారంగా కోరుకుంటుంది.,లీగ్ ప్రకారం డాక్యుమెంట్ సరిహద్దు వివాదాన్ని సూచిస్తుంది ఇది పాలస్తీనా నైతిక నిర్మూలన యొక్క మధ్యప్రాచ్య యుద్ధానికి ముందు సరిహద్దుల ఆధారంగా కోరుకుంటుంది
अपनी सरकार के अलावा आप अन्य देशों की सरकारों की सलाह ले सकते हैं हालांकि उनकी सलाह उनके नागरिकों को ध्यान में रखकर दी जाती हैं,మీరు మీ స్వంతం ఆలోచనలతో కాకుండా ప్రభుత్వాల సలహా కూడా తీసుకోవాలని అనుకోవచ్చు అయితే వారి సలహా వారి పౌరుల కోసం రూపొందించబడింది,మీ ప్రభుత్వం కాకుండా మీరు ఇతర దేశాల ప్రభుత్వాల సలహాలు తీసుకోవచ్చు అయితే వారి సలహాలు వారి పౌరులను దృష్టిలో ఉంచుకొని ఇవ్వబడుతుంది,మీ ప్రభుత్వానికి అదనంగా మీరు ఇతర దేశాల ప్రభుత్వాల సలహాలను తీసుకోవచ్చు అయితే వారి సలహా వారి పౌరులను దృష్టిలో ఉంచుకుని ఇవ్వబడతాయి,మీ ప్రభుత్వం కాకుండా మీరు ఇతర దేశాల ప్రభుత్వాల సలహాలు తీసుకోవచ్చు అయితే వారి సలహాలు వారి పౌరులను దృష్టిలో ఉంచుకొని ఇవ్వబడుతుంది,"మీ ప్రభుత్వానికి అదనంగా మీరు ఇతర దేశాల ప్రభుత్వాల సలహాలను తీసుకోవచ్చు, అయితే వారి సలహా వారి పౌరులను దృష్టిలో ఉంచుకొని ఇవ్వబడతాయి."
वाइल्ड कार्ड खरीद लेना फ़ायदेमंद भी हो सकता है क्योंकि इससे आप दक्षिण अफ़्रीका के चुनिंदा पार्क या सभी दक्षिण अफ़्रीकी नेशनल पार्क देख सकते हैं,దక్షిణ ఆఫ్రికాలోని కొన్ని పార్కులకు లేదా అన్ని దక్షిణ ఆఫ్రికా నేషనల్ పార్కులకు ప్రవేశం కలిగించే ఒక వైల్డ్ కార్డును కొనుగోలు చేయడం లాభదాయకం,వైల్డ్ కార్డ్ కొనుగోలు తీసుకోవడం లాభదాయకం కూడా కావచ్చు ఎందుకంటే దీనితో మీరు దక్షిణాఫ్రికా యొక్క చెరిండా పార్క్ లేదా అన్ని దక్షిణాఫ్రికా నేషనల్ పార్క్ లు చూడవచ్చు,వైల్డ్ కార్డ్ కొనుగోలు చేసుకోవడం ప్రయోజనకరమైనది కూడా కావచ్చు ఎందుకంటే దీని ద్వారా మీరు దక్షిణాఫ్రికా యొక్క ఎంపికైన పార్క్ లేదా అన్ని దక్షిణాఫ్రికా నేషనల్ పార్క్ ను చూడవచ్చు,వైల్డ్ కార్డ్ కొనుగోలు తీసుకోవడం లాభదాయకం కూడా కావచ్చు ఎందుకంటే దీనితో మీరు దక్షిణాఫ్రికా యొక్క చెరిండా పార్క్ లేదా అన్ని దక్షిణాఫ్రికా నేషనల్ పార్కులను చూడవచ్చు.,వైల్డ్ కార్డ్ కొనుగోలు చేసుకోవడం ప్రయోజనకరమైనది కూడా కావచ్చు ఎందుకంటే దీని ద్వారా మీరు దక్షిణాఫ్రికా యొక్క ఎన్నుకోబడిన పార్క్ లేదా అన్ని దక్షిణాఫ్రికా నేషనల్ పార్క్ ను చూడవచ్చు.
पुलिस अधीक्षक चंद्र शेखर सोलंकी ने कहा कि आरोपी ढके हुए चेहरे के साथ अदालत में पेश हुए थे,నిందితుడు ముఖకవతలతో కోర్టులో హాజరయినట్లు పోలీసు ఉన్నతాధికారి చంద్ర శేఖర్ సోలంకి తెలిపారు,"పోలీస్ అధిపతి చంద్రశేఖర్ సోలంకి చెప్పారు, ఆరోపణలు కవర్ చేసిన ముఖంతో కోర్టులో కనిపించారు.",పోలీస్ సూపరింటెండెంట్ చంద్ర షేఖర్ సోలంకి చెప్పారు ఆరోపణలు కప్పబడిన ముఖంతో కోర్టులో హాజరయ్యారు,పోలీస్ అధిపతి చంద్రశేఖర్ సోలంకి చెప్పారు ఆరోపణలు కవర్ చేసిన ముఖంతో కోర్టులో కనిపించారు,పోలీస్ సూపరింటెండెంట్ చంద్రశేఖర్ సోలంకి చెప్పారు ఆరోపణలు కప్పబడిన ముఖంతో కోర్టులో హాజరయ్యారు
"उनका ऊष्मीय व्यवहार पृथ्वी की बड़ी गुफाओं जैसा स्थिर नहीं है जो अक्सर काफी स्थिर तापमान बनाए रखती हैं लेकिन यह जमीन के इन गहरे छेद के अनुरूप है,” यूनाइटेड स्टेट्स जियोलॉजिकल सर्वे यूएसजीएस की भूगर्भीय टीम और फ्लैगस्टाफ एरिजोना में स्थित उत्तरी एरिजोना विश्वविद्यालय के ग्लेन कुशिंग ने कहा।","""వాటి ఉష్ణ ప్రవర్తన భూమిపై తరచూ స్థిరమైన ఉష్ణోగ్రతను కలిగి ఉండే పెద్ద గుహల వలె స్థిరంగా ఉండదు అవి  నిర్వహిస్తాయి అయితే ఇవి భూమిలో లోతైన రంధ్రాలుగా ఉండటానికి అనుగుణంగా ఉంటాయి ""అని అరిజోనాలోని ఫ్లాగ్‌స్టాఫ్‌లో ఉన్న ఉత్తర అరిజోనా విశ్వవిద్యాలయానికి చెందిన యునైటెడ్ స్టేట్స్ జియోలాజికల్ సర్వే యుఎస్‌జిఎస్ ఆస్ట్రోజియోలజి బృందం మరియు గ్లెన్ కుషింగ్ అన్నారు.  ",ఆయన ఉష్మీయ ప్రవర్తన భూమి యొక్క పెద్ద గుహలు లాంటిది కాదు ఇవి తరచుగా చాలా స్థితిస్థాయి ఉష్ణోగ్రతలను కలిగి ఉంటాయి కానీ ఇది భూమి యొక్క ఈ లోతైన రంధ్రాలకు అనుగుణంగా ఉంది యునైటెడ్ స్టేట్స్ జియోలాజికల్ సర్వే యొక్క భూగర్భ బృందం మరియు ఫ్లాగ్ స్టాఫ్ అరిజోనాలో ఉన్న ఉత్తర అరిజోనా విశ్వవిద్యాలయం యొక్క గ్లెన్ కుషింగ్ అన్నారు,"వారి ఉష్ణ ప్రవర్తన భూమి యొక్క పెద్ద గుహల మాదిరిగా స్థిరంగా లేదు ఇది తరచుగా చాలా స్థిరమైన ఉష్ణోగ్రతను నిర్వహిస్తుంది కానీ ఇది భూమి యొక్క ఈ లోతైన రంధ్రాలకు అనుగుణంగా ఉంది, ⁇  యునైటెడ్ స్టేట్స్ జియోలాజికల్ సర్వే USGS యొక్క జియోజియోలాజికల్ జట్టు మరియు ఫ్లాగ్స్టాఫ్ అరిజోనాలో ఉన్న ఉత్తర అరిజోనా విశ్వవిద్యాలయం యొక్క గ్లెన్ కుషింగ్ చెప్పారు.",ఆయన ఉష్మీయ ప్రవర్తన భూమి యొక్క పెద్ద గుహలు లాంటిది కాదు ఇవి తరచూ చాలా స్థితిస్థాపక ఉష్ణోగ్రతలను కలిగి ఉంటాయి కానీ ఇది భూమి యొక్క ఈ లోతైన రంధ్రాలకు అనుగుణంగా ఉంది యునైటెడ్ స్టేట్స్ జియోలాజికల్ సర్వే యొక్క భూగర్భ బృందం మరియు ఫ్లాగ్స్టాఫ్ అరిజోనాలోని ఉత్తర అరిజోనా విశ్వవిద్యాలయం యొక్క గ్లెన్ కుషింగ్ అన్నారు,వారి ఉష్ణ ప్రవర్తన భూమి యొక్క పెద్ద గుహల మాదిరిగా స్థిరంగా లేదు. ఇది చాలా తరచుగా చాలా స్థిరమైన ఉష్ణోగ్రతలను నిర్వహిస్తుంది కానీ ఇది భూమి యొక్క ఈ లోతైన రంధ్రాలకు అనుగుణంగా ఉంటుంది. యునైటెడ్ స్టేట్స్ జియోలాజికల్ సర్వే యొక్క జియోజియోలాజికల్ బృందం మరియు ఫ్లగ్స్టాఫ్ అరిజోనాలోని ఉత్తర అరిజోనా విశ్వవిద్యాలయం యొక్క గ్లెన్ కుషింగ్ చెప్పారు
सावधान रहें कि कपड़े को बहुत गर्म न होने दें जो सिकुड़न का कारण बन सकता है या बहुत गरम होने पर जल सकता है।,దుస్తులు చాలా వేడిగా మారకుండా జాగ్రత్తగా ఉండండి ఇది సంకోచానికి కారణమవుతుంది లేదా తీవ్రమైన సందర్భాలలో కాలిపోయే అవకాశం ఉంది,"జాగ్రత్తగా ఉండండి, చాలా వేడిగా ఉండనివ్వండి, ఇది కుళ్ళిపోవడానికి కారణమవుతుంది లేదా చాలా వేడిగా ఉన్నప్పుడు మండుతుంది.",జాగ్రత్తగా ఉండండి వస్త్రాన్ని చాలా వేడిగా ఉండనివ్వకండి ఇది సంకుద్రాణానికి కారణమవుతుంది లేదా చాలా వేడిగా ఉంటే బర్న్ కావచ్చు.,"జాగ్రత్తగా ఉండండి, చాలా వేడిగా ఉండకండి. ఇది కుళ్ళిపోవడానికి కారణమవుతుంది లేదా చాలా వేడిగా ఉన్నప్పుడు కూడా కుళ్ళిపోతుంది.",జాగ్రత్తగా ఉండండి. దుస్తులను చాలా వేడిగా ఉంచవద్దు. ఇది సంకోచానికి కారణమవుతుంది లేదా చాలా వేడిగా ఉంటే బర్న్ కావచ్చు.
कुछ क्षेत्रों में पानी को एक मिनट के लिए उबालना काफी होता है अन्य क्षेत्रों में कई मिनट तक उबलाने की आवश्यकता होती है,కొన్ని ప్రాంతాల్లో ఒక నిమిషం పాటు నీటిని మరిసించడం మరికొన్ని నిమిషాల్లో కొన్ని నిమిషాలు అవసరం,కొన్ని రంగాలలో నీటిని ఒక నిమిషం కోసం ఉడికించడం సరిపోతుంది ఇతర రంగాలలో అనేక నిమిషాలు వరకు ఉడికించాల్సిన అవసరం ఉంటుంది,కొన్ని ప్రాంతాలలో నీటిని ఒక నిమిషం కోసం ఉడకబెట్టడం సరిపోతుంది ఇతర ప్రాంతాలలో అనేక నిమిషాలు వరకు ఉడకబెట్టడం అవసరం.,కొన్ని రంగాలలో నీటిని ఒక నిమిషం కోసం ఉడికించడం సరిపోతుంది. ఇతర రంగాలలో అనేక నిమిషాలు వరకు ఉడికించాల్సిన అవసరం ఉంటుంది.,కొన్ని ప్రాంతాల్లో నీటిని ఒక నిమిషం కోసం ఉడకబెట్టడం సరిపోతుంది. ఇతర ప్రాంతాల్లో అనేక నిమిషాలు వరకు ఉడకబెట్టడం అవసరం.
साई के साथ-साथ सभी संज्ञा शब्द हमेशा अंग्रेज़ी के बड़े अक्षर से ही शुरू होते हैं भले ही वे वाक्य के बीच में ही क्यों न हों,మీకు sie అనే పదం పక్కన వచ్చే నౌన్స్ అన్నీ ఎల్లప్పుడు క్యాపిటల్ లెటర్తో ప్రారంభం అవుతాయి అది వాక్యం మధ్యలోనైనా సరే,సైకితో పాటు అన్ని సంజ్ఞా పదాలు ఎల్లప్పుడూ ఇంగ్లీషు పెద్ద అక్షరాలతోనే మొదలవుతాయి భలేవి సంఘటన మధ్యలోనే ఎందుకు ఉండవు,సాయి తో పాటుగా అన్ని నామవాచకాలు ఎల్లప్పుడూ ఇంగ్లీషు యొక్క పెద్ద అక్షరంతోనే మొదలవుతాయి అవి వాక్యం మధ్యలోనే ఎందుకు అయినా.,సైకితో పాటు అన్ని సంజ్ఞా పదాలు ఎల్లప్పుడు ఇంగ్లీషు పెద్ద అక్షరాలతోనే మొదలవుతాయి బాలేవి సంఘటన మధ్యలోనే ఎందుకు ఉండవు,"సాహిత్యంతో పాటుగా, అన్ని నామవాచకాలు ఎల్లప్పుడూ ఆంగ్లంలో పెద్ద అక్షరంతో మొదలవుతాయి. అవి వాక్యం మధ్యలోనే ఉంటాయి."
